Future,Mic_Code,Expiry
ES,XCME,17/09/2021
ESW,XMCE,18/12/2021
UX,XCBF,08/07/2021
UB,XEUR,21/09/2021
RX,XEUR,08/09/2021
OE,XEUR,08/09/2021
Z,IFLL,17/09/2021
VG,XEUR,06/09/2021
